name,description,stand_id,category,brands,is_not_on_map,festival_city,festival_slug
International Whisky Society (IWS),"De International Whisky Society viert het 25-jarig jubileum met exclusieve festivalbottelingen door de jaren heen, glazen en gifts!",17,world,"Whisky Club, Festival Bottelings door de jaren heen, NIEUW en speciaal voor het 25-jarig jubileum, Gifts, Glazen",Nee,Den Haag,den-haag
BUS Whisky,"Duurzame Nederlandse single malt whisky, lokaal verbouwd op de BUS boerderij.",18,dutch,Nederlandse Whisky,Nee,Den Haag,den-haag
Stand 19 (Centraal Eiland),Centrale eiland standruimte.,19,organisation,Proeftafel / Eiland,Nee,Den Haag,den-haag
Helvetia Spirits,Ambachtelijke single malt whisky uit Zwitserland.,20,world,Zwitserse Whisky,Nee,Den Haag,den-haag
The Chamberick,Lokale Nederlandse whisky uit Kamerik.,21,dutch,Nederlandse Whisky,Nee,Den Haag,den-haag
Ben Becula Distillery,Nieuwe distilleerderij van de Schotse Outer Hebrides.,22,scotch,Ben Becula,Nee,Den Haag,den-haag
Willem’s Whisky,Ambachtelijke Nederlandse whisky.,23,dutch,Merken volgen later,Nee,Den Haag,den-haag
Het Anker België,Belgische whisky en bieren van stokerij Het Anker.,24,world,Merken volgen later,Nee,Den Haag,den-haag
Bresser en Timmer (Proeftafel),Extra proeftafel van Bresser en Timmer.,25,scotch,Merken volgen later,Nee,Den Haag,den-haag
Nog te VERKOPEN als stand,Standruimte beschikbaar.,27,organisation,Volgt asap,Nee,Den Haag,den-haag
Bacardi,Importeur van Teeling Irish Whiskey en andere premium merken.,28,world,"Teeling, Meer merken volgen later",Nee,Den Haag,den-haag
Remy Cointreau,"Progressieve Islay distilleerderij, producent van Bruichladdich, Port Charlotte en Octomore.",29,scotch,Bruichladdich,Nee,Den Haag,den-haag
Well of Wine,Wijnen en proeverij selectie op het festival.,30,world,Wijnen & Proeverij,Nee,Den Haag,den-haag
La Martiniquaise Benelux,Toegankelijke Speyside single malts met rijping op diverse vaten.,31,scotch,Merken volgen later,Nee,Den Haag,den-haag
Dutch Whisky Teers,Onafhankelijke bottelaars van bijzondere en zeldzame whisky's.,32,independent,Merken volgen later,Nee,Den Haag,den-haag
Barrel Tea,Alcoholvrije whisky-thee en diverse whisky-gerelateerde gifts.,34,catering,"Alcohol vrije whisky – Thee, Gifts",Nee,Den Haag,den-haag
Brugse Whisky Company,Belgische single malt en rye whisky uit Brugge.,35,world,Belgische Whisky uit Brugge,Nee,Den Haag,den-haag
Perfect Dram,Standruimte voor Perfect Dram.,36,independent,Merken volgen later,Nee,Den Haag,den-haag
Absolutely Nuts Spirits,Ambachtelijke gedistilleerde dranken en whisky.,37,independent,Craft Spirits,Nee,Den Haag,den-haag
Nog te VERKOPEN als stand,Standruimte beschikbaar.,38,organisation,Volgt asap,Nee,Den Haag,den-haag
Worsten-stand,"Uitgifte van worstenplateaus tijdens VIP sessies, verkoop van worsten en hapjes.",39,catering,"Afhalen worstenplateau tijden VIP sessie, Verkoop Worsten, Verkoop hapjes",Nee,Den Haag,den-haag
Barrel Atelier,Ambachtelijke meubels en accessoires gemaakt van gebruikte eikenhouten whiskyvaten.,40,catering,Gifts,Nee,Den Haag,den-haag
Whisky Boeken – Whisky Passion,Het bekende tijdschrift Whisky Passion en diverse whiskyboeken & gifts.,41,catering,Gifts en boeken,Nee,Den Haag,den-haag
Kapel Noord (Tasting Room),Exclusieve tasting room in Kapel Noord.,42,organisation,Exclusieve Tasting Room,Nee,Den Haag,den-haag
Stokerij Sculte,"Bekroonde Nederlandse single malt whisky, gerijpt op Twents eiken.",43,dutch,Nederlandse Whisky,Nee,Den Haag,den-haag
De Monnik Dranken (Tafel B),Extra tasting proeftafel van De Monnik Dranken.,44,scotch,Merken volgen later,Nee,Den Haag,den-haag
Disaronno International,Importeur van The Irishman Irish Whiskey en Cotswolds single malt.,45,world,"The Irishman, Cotswolds, Meer merken volgen later",Nee,Den Haag,den-haag
Maple & More,Canadian Whisky Liqueur.,46,world,Whisky Likeur uit Canada,Nee,Den Haag,den-haag
Koninklijke De Kuyper,"De Kuyper Royal Distillers toont legendarische turfwhisky's (Bowmore, Laphroaig) en Japanse whisky's van House of Suntory.",47,world,"Bowmore, Laphroaig, House of Suntory",Nee,Den Haag,den-haag
Perfect Dram (Stand 48),Tasting stand van Perfect Dram.,48,independent,Merken volgen later,Nee,Den Haag,den-haag
Organisatie & Infobalie,"De centrale organisatiebalie voor al uw praktische vragen over het festival, muntinname en programmaonderdelen.",O,organisation,"Algemene Vragen, Muntinname, Plattegronden",Nee,Den Haag,den-haag
S: Slijterij,De officiële festivalslijterij waar u geselecteerde flessen kunt kopen.,S,organisation,Selectie flessen die te koop is,Nee,Den Haag,den-haag
C: Catering,"Afhalen bitterballen plateau tijdens VIP sessie, snacks en catering.",C,catering,"Afhalen bitterballen plateau tijdens VIP sessie, Food",Nee,Den Haag,den-haag
U: Uitgifte glazen & bottelingen,Uitgifte van festivalproefglazen bij de entree en uitgifte van festivalbottelingen aan het einde van de sessie.,U,organisation,"Uitgifte glazen in het begin, Uitgifte festival botteling aan het einde van de sessie",Nee,Den Haag,den-haag
Demi’s Chocolaterie,"Ambachtelijke chocolade, gifts en whisky bonbons.",NP1,catering,"Food, Gifts, Whisky Bonbons",Ja,Den Haag,den-haag
Kiltshop,"Traditionele Schotse kilts, kleding en accessoires.",NP2,catering,"Gifts, Kleding",Ja,Den Haag,den-haag
Van Weringhs Whisky World,Zeldzame en oude whisky specials.,NP3,independent,"Oude Whisky’s, Specials",Ja,Den Haag,den-haag
Kaas Ad Rehorst,"Uitgifte kaas-plateaus tijdens VIP sessies, gifts en verkoop van kaasplateaus.",NP4,catering,"Uitgifte kaas-plateau’s tijden VIP sessie, Gifts, Verkoop kaas-plateau",Ja,Den Haag,den-haag
Whisky Base,De grootste online whisky database en community ter wereld.,NP5,world,Whisky Database & Community,Ja,Den Haag,den-haag
